15M          Fifteen minutes
UAF          Unblocking acknowledgment failure
UAI          U activation indication (C/I channel code)
UBA          Unblocking acknowledgement
UBL          Unblocling (SS7: in ISUP)
UCA          Unauthorized centralized automatic message accountin (MDII)
UCD          Uniform call distribution
UCL          Unconditional
UCONF        Universal conference
UCS          User control string
UDC          Universal digital channel
UDLC         Universal dlc
UDP          Update dip parameters
UDP          User datagram protocol
UDR          User data rate
UDT          Unidata (SS7: in SCCP)
UDTS         Unidata servive (SS7: in SCCP)
UDVM         Universal data voice multiplexer
UES          Update the entity summary table
UFD          Microfarad
UFO          Unprinted frame orders
UFT          Unitized facility terminals
UI           Unnumbered information  (LAP-D command)
UIC          U-interface unit
UIC          User identification code
UID          User id
UINTF        The ANSI standard U interface is down.
UITP         Universal information transport plan
ULCU         User level control/command unit
UMC          Unassigned multiplexer code
UNDRN        Underrange
UNISTAR      Universal single call telecommunications answering & repair
UNKN         Unknown
UOA          U interface only activation (in EOC)
UP           User part
UPC          Update ccs vs. class of service table
UPDT         Update
UPS          Uninterruptable power systems
UQL          Unequipped label received (outgoing)
US           USOC
US           Unit separator
USART        Universal synchrounous/asynchrounous receiver/transmitter
USB          Upper side band
USITA        United states independent telephone association
USL          List USOC (us) file data
USO          Univeral service order
USO          Universal service order
USOC         Universal service order code
USP          Universal sampling plan
USR          User-to-user information (SS7: in ISUP)
UTC          Unable to comply ack (in eoc)
UTC          Unacknowledged (unnumbered) information transfer control (IOS)
UTC          Update table for concentrator redesign
UTD          Universal tone decoder
UTG          Universal tone generator
UTM          Universal transaction monitor
UTS          Umbilical time slot
UUCICO       Unix to unix copy incoming copy outgoing
UUCP         Unix to unix copy program
UUCP         Unix-system to unix-system copy
UUID         Universal user identification
UUS          User-to-user signaling (i.257 a)
UUT          User to user signaling
UVC          Universal voice channel
UWAL         Universal wats (wide area telephone service) access line
UXS          Unexpected stop
UXS          Unexpected stop (MDII)
V            Volts
V(R)         Receive sequence counter
V(S)         Transmit sequence counter
VAC          Vacuumschmelze (produces cores and transformers)
VAL          Minimum valid hours for entity data
VAN          Value added network
VANS         Value added network service
VAP          Value added process
VAP          Videotext access point
VAR          Value added retailer
VC           Virtual call
VC           Virtual circuit
VCA          Vacant code
VCB          Virtual circuit bearer
VCS          Virtual circuit switch (as in Datakit)
VCS          Virtual circuit switching
VCS          Virtual circuit system
VDC          Unk? (On service order)
VDT          Video display terminal
VERS         Version
VF           Commercial television (full time) INTER/TRA blocal 1-26
VF           Voice frequency
VFAC         Verified and forced account codes
VFD          Verify display
VFG          Virtual facility group
VFN          Vendor feature node
VFS          Verify status
VFY          Verfy
VFY          Verify
VG           Voice grade
VGB          Voice grade budget
VGF          Voice grade facility
VGT          Boltage test
VGT          Voltage test (SARTS command)
VH           Commercial television (part time) INTER/TRA blocal 1-26
VHDL         Very high scale ic description language (DOD)
VHF          Very high frequency
VINES        Virtual network software
VIU          Voiceband interface unit
VL           (Ger) connecting cable
VLD          Validity
VLSI         Very large-scale integrated circuitry
VLT          Voltage
VM           Control/remote metering-voice grade INTER/TRA blocal 1-26
VM/SP        Virtual machine/system product
VMC          Vender marketing center
VMCF         Virtual machine communications facility
VMR          Volt-meter reverse
VMRS         Voice message relay system
VMS          Virtual memory operating system
VMS          Voice mail system
VMS          Voice management system
VMS          Voltage Monitor error Summary
VNF          Virtual network feature
VNL          Via net loss plan
VNLF         Via net loss factor
VO           International overseas television INTER/TRA blocal 1-26
VODAS        Voice over data access station
VPA          Voice path assurance timeout (outgoing)
VPN          Virtual private network
VR           Non-commercial television
VRMS         Voltage remote mean square
VRS          Voice response system
VSAM         Virtual storage access method
VSAT         Very small aperature terminal
VSAT         Very small aperture terminal (for satellite communication)
